"line_item_id","item","description","quantity","unit_price","unit_markup","job_id","created_at"
"8142893","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:28"
"8142923","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:30"
"8142968","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:33"
"8142998","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:35"
"8143028","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:38"
"8143076","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:41"
"8143106","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:44"
"8143136","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:46"
"8143166","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:48"
"8143201","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:50"
"8143331","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","1.000000","0.00000","583.33333","1244374","2020-03-03 18:57:03"
"8142783","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:19"
"8142822","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:21"
"8142852","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:24"
"8143059","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:40"
"8170048","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","1.000000","0.00000","583.33333","1244374","2020-03-04 07:27:37"
"8142873","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:26"
"8142903","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:29"
"8142978","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:34"
"8143008","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:36"
"8143086","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:42"
"8143116","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:45"
"8143146","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:47"
"8143181","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:49"
"8143211","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:51"
"9722060","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","1.000000","0.00000","583.33333","1244374","2020-05-04 07:15:55"
"8933058","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","1.000000","0.00000","583.33333","1244374","2020-04-03 07:17:00"
"10389335","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","1.000000","0.00000","583.33333","1244374","2020-06-03 07:23:05"
